,Unnamed: 0,date,title,description,text,language,title_compound,title_pos,title_neg,title_sent,text_compound,text_pos,text_neg,text_sent
0,0,2021-04-02T13:30:00Z,3 Pet Stocks You’ll Love As Much As Your Furry Friends,Pet ownership is up and so are the stocks of many pet stocks. This is making pet stocks one of the hottest sectors in the market. So let’s take a look at three pet stocks that investors should keep their eye on as we move into the second quarter of 2021.,This story originally appeared on MarketBeatIt’s possible that the global pandemic has taken America’s love affair with our pets to new heights. Pet ownership is up and so are the stocks of many pet … [+3625 chars],en,0.8074,0.477,0.0,1,0.6369,0.107,0.0,1
1,1,2021-03-22T11:18:23Z,US STOCKS-Futures point to gains for tech-related stocks as bond yields ease - Reuters,US STOCKS-Futures point to gains for tech-related stocks as bond yields ease  Reuters,"FILE PHOTO: People are seen on Wall St. outside the New York Stock Exchange (NYSE) in New York City, U.S., March 19, 2021. REUTERS/Brendan McDermid
Business News
Medha Singh
(Reuters) - Futures tr… [+1685 chars]",en,0.5994,0.308,0.0,1,0.0,0.0,0.0,1
2,2,2021-04-06T12:03:42Z,2 Undervalued TSX Stocks to Buy in April 2021 - The Motley Fool Canada,"<ol><li>2 Undervalued TSX Stocks to Buy in April 2021  The Motley Fool Canada
</li><li>Got $500? 3 Top TSX Stocks to Buy Right Now  Yahoo Canada Finance
</li><li>Transat Says Airline Talks With Ottawa Are At ""Advanced Stage""  TravelPulse Canada
</li><li>5 …","A year after the market crash, the TSX Index is hitting new highs. Many of the bargains are gone, but savvy investors can still find cheap stocks that could deliver huge gains in 2021 and beyond.
Wh… [+3654 chars]",en,-0.4404,0.0,0.209,-1,0.6369,0.141,0.043,1
3,3,2021-03-10T08:28:00Z,"European shares slip as miners, travel stocks weigh - Reuters","European stocks pulled back on Wednesday after surging close to pre-pandemic levels a day earlier, as worries about rising inflation kept investors on edge, with mining and travel stocks leading the retreat.","By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 9, 2021. REUTERS/Staff
(Reuters) - European stocks pulled back on … [+855 chars]",en,0.296,0.216,0.0,1,0.296,0.064,0.0,1
4,4,2021-03-12T01:00:00Z,RPT-COLUMN-Global oil inventories to become tight by mid-2021: Kemp - Reuters,Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel – even if substantial coronavirus controls remain on travel and service sector businesses.,"(Repeats Thursdays column with no changes to the text. John Kemp is a Reuters market analyst. The views expressed are his own)
* Chartbook: tmsnrt.rs/3vfpBsM
LONDON, March 11 (Reuters) - Global ref… [+3569 chars]",en,0.0,0.0,0.0,1,-0.296,0.0,0.068,-1
5,5,2021-03-11T14:57:00Z,Column: Global oil inventories to become tight by mid-2021 - Kemp - Reuters,Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel – even if substantial coronavirus controls remain on travel and service sector businesses.,LONDON (Reuters) - Global refineries will increase crude processing sharply over the next six months to stabilise stocks of fuels such as gasoline and diesel even if substantial coronavirus controls … [+3491 chars],en,0.0,0.0,0.0,1,-0.1531,0.115,0.103,-1
6,6,2021-03-12T08:01:00Z,China stocks post weekly drop on policy tightening worries - Reuters,"China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty valuations, though infrastructure firms helped benchmark stock indexes eke out gains for the day.","By Reuters Staff
SHANGHAI, March 12 (Reuters) - China shares posted a weekly loss on Friday as a conservative 2021 economic growth target sparked fears Beijing could tighten policy to rein in lofty … [+1856 chars]",en,-0.5994,0.0,0.38,-1,-0.0772,0.127,0.135,-1
7,7,2021-03-25T08:27:00Z,European stocks slip as lockdowns cloud growth outlook - Reuters,European stocks inched lower in early trading on Thursday as investors grew wary about the economic outlook following a new round of coronavirus restrictions in the euro zone and regulatory concerns hit Chinese stocks.,"By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 24, 2021. REUTERS/Staff
(Reuters) - European stocks inched lower i… [+1018 chars]",en,0.3818,0.245,0.0,1,0.0,0.062,0.062,1
8,8,2021-04-07T23:32:19Z,Top 5 Skyrocketing TSX Stocks to Buy in April 2021 - The Motley Fool Canada,Investors can buy these five small companies’ skyrocketing stocks to gain big from the ongoing market rally in April 2021.,The ongoing broader market rally in 2021 has the potential to multiply investors’ money fast. Long-term investors could invest their money in these five small companies’ rallying stocks to gain big f… [+3938 chars],en,-0.2732,0.115,0.185,-1,0.5267,0.093,0.0,1
9,9,2021-03-25T12:01:37Z,Invest Like Warren Buffett by Buying 5G Stocks - The Motley Fool Canada,"<ol><li>Invest Like Warren Buffett by Buying 5G Stocks  The Motley Fool Canada
</li><li>Time to Take Profits on Air Canada (TSX:AC) Stock  Yahoo Canada Finance
</li><li>4 Undervalued Canadian Stocks to Buy Under $40 in 2021  The Motley Fool Canada
</li><li…",Warren Buffett is investing in 5G stocks. Buffett recently bought 147 million Verizon shares worth about US$8 billion. Buffett also recently increased its stake in T-Mobile to around US$706 million f… [+3847 chars],en,-0.1027,0.162,0.188,-1,0.6369,0.171,0.0,1
10,10,2021-03-26T11:13:14Z,"US STOCKS-Futures rise as bank, energy stocks gain on recovery hopes - Reuters","U.S. stock index futures edged higher on Friday as investors bought undervalued energy and bank stocks betting on what is expected to be the fastest economic growth since 1984, while awaiting inflation data later in the day.","FILE PHOTO: The hand of a sculpture of former U.S. President George Washington is pictured with the facade of the New York Stock Exchange (NYSE) in Manhattan in New York City, New York, U.S., January… [+1789 chars]",en,0.8074,0.48,0.0,1,0.4939,0.084,0.0,1
11,11,2021-04-07T20:05:27Z,Stocks Rise After Fed Minutes as Volume Dwindles: Markets Wrap - Yahoo Canada Finance,"<ol><li>Stocks Rise After Fed Minutes as Volume Dwindles: Markets Wrap  Yahoo Canada Finance
</li><li>Stocks decline in slowest trading day of this year  BNN
</li><li>Asia Stocks Set for Steady Open; Treasuries Rose: Markets Wrap  BloombergQuint
</li><li>A…","(Bloomberg) -- Stocks rose with the dollar and Treasuries were mixed after the Federal Reserve refrained from signaling it will make any changes to its bond-buying program any time soon.
Volume on U… [+3007 chars]",en,0.0,0.0,0.0,1,0.2263,0.053,0.0,1
12,12,2021-03-17T11:09:41Z,US STOCKS-Futures muted as Fed takes center stage - Reuters.com,US STOCKS-Futures muted as Fed takes center stage  Reuters.com,"Company News
Shashank Nayar
Medha Singh
(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* Futures: Dow up 0.09%, S&amp;P flat, Nasdaq… [+2042 chars]",en,0.0,0.0,0.0,1,0.0,0.0,0.0,1
13,13,2021-03-15T07:42:49Z,China stocks end lower as policy tightening worries persist - Reuters,China stocks end lower as policy tightening worries persist  Reuters,"Financials
Reuters Staff
SHANGHAI, March 15 (Reuters) - China shares closed lower on Monday, with heavyweight consumer, healthcare and new energy stocks leading the losses, as the recent conservati… [+2083 chars]",en,-0.6124,0.0,0.385,-1,-0.1531,0.122,0.139,-1
14,14,2021-04-07T12:02:21Z,Want To Combine Dividends And Growth? These 3 Stocks Might Fit The Bill - The Motley Fool Canada,"<ol><li>Want To Combine Dividends And Growth? These 3 Stocks Might Fit The Bill  The Motley Fool Canada
</li><li>3 Undervalued Canadian Stocks That Could Gain Up to 55%  Yahoo Canada Finance
</li><li>Cheap Canadian Sector Stocks  Morningstar.ca
</li><li>Ba…",Home » Investing » Want to Combine Dividends and Growth? 3 Stocks That Fit the BillNot everything in life is split between white and black. More things exist in the “grey” area than they do in two ex… [+3290 chars],en,0.3612,0.3,0.136,1,0.6597,0.158,0.0,1
15,15,2021-03-30T17:26:00Z,OPEC internal report sees oil stocks falling more in 2021 - Reuters,"OPEC expects oil inventories to drop by about 445 million barrels in 2021 in the latest supply and demand outlook being reviewed by a technical meeting on Tuesday, according to a copy of the report seen by Reuters.","By Reuters Staff
FILE PHOTO: The logo of the Organisation of the Petroleum Exporting Countries (OPEC) sits outside its headquarters ahead of the OPEC and NON-OPEC meeting, Austria December 6, 2019. … [+675 chars]",en,-0.1531,0.0,0.138,-1,0.0,0.0,0.0,1
16,16,2021-03-08T08:27:00Z,"Oil, travel stocks boost European shares - Reuters","European shares rose on Monday, catching up with a late Friday rally on Wall Street, while oil majors like Royal Dutch Shell and BP jumped as crude prices were boosted by reports of attacks on Saudi Arabian facilities.","By Reuters Staff
FILE PHOTO: The German share price index DAX graph is pictured at the stock exchange in Frankfurt, Germany, March 5, 2021. REUTERS/Staff
(Reuters) - European shares rose on Monday,… [+912 chars]",en,0.5994,0.495,0.0,1,0.5267,0.124,0.0,1
17,17,2021-03-17T08:29:00Z,European shares tread water ahead of Fed outcome - Reuters,"European stocks were flat on Wednesday as most investors stayed on the sidelines ahead of the U.S. Federal Reserve's policy decision, while German carmaker BMW jumped after forecasting significant profit growth in 2021.","By Reuters Staff
(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window)
March 17 (Reuters) - European stocks were flat on Wednesday as most inv… [+1074 chars]",en,0.296,0.216,0.0,1,0.0,0.0,0.0,1
18,18,2021-03-15T10:21:00Z,"CEE MARKETS-Warsaw hits 2-month high, Prague tests 2021 peak as stocks gain - Reuters","Prague's main share index tested 2021 highs on Monday and Warsaw hit a two-month peak as central European equities started the week on stronger ground amid global recovery hopes, while currencies moved sideways. The Prague PX index had risen 0.3% by 0949 GMT …","By Reuters Staff
PRAGUE, March 15 (Reuters) - Prague's main share index
tested 2021 highs on Monday and Warsaw hit a two-month peak as
central European equities started the week on stronger ground… [+3663 chars]",en,0.5267,0.221,0.0,1,0.5719,0.134,0.031,1
19,19,2021-03-17T09:29:00Z,European shares tread water ahead of Fed outcome - Reuters,"European stocks ticked lower on Wednesday as most investors stayed on the sidelines ahead of the U.S. Federal Reserve's policy decision, while German carmaker BMW jumped after forecasting significant profit growth in 2021.","(Reuters) - European stocks ticked lower on Wednesday as most investors stayed on the sidelines ahead of the U.S. Federal Reserves policy decision, while German carmaker BMW jumped after forecasting … [+1870 chars]",en,0.296,0.216,0.0,1,-0.6124,0.0,0.147,-1
